position,percent
2,100.0
7,100.0
23,100.0
37,100.0
97,100.0
99,100.0
117,100.0
252,100.0
317,100.0
411,100.0
518,100.0
523,100.0
592,100.0
854,100.0
938,100.0
1004,100.0
1092,100.0
1098,100.0
1099,100.0
1454,100.0
1843,100.0
2401,100.0
2413,100.0
2513,100.0
2627,100.0
2652,100.0
2656,100.0
2732,100.0
2741,100.0
2742,100.0
2743,100.0
2747,100.0
2771,100.0
2773,100.0
2782,100.0
2879,100.0
2924,100.0
2967,100.0
3066,100.0
3073,100.0
3139,100.0
3155,100.0
3158,100.0
3166,100.0
3230,100.0
3234,100.0
3241,100.0
3272,100.0
3279,100.0
3280,100.0
3291,100.0
3295,100.0
3298,100.0
3308,100.0
3330,100.0
3340,100.0
3342,100.0
3345,100.0
3346,100.0
3378,100.0
3495,100.0
3526,100.0
3546,100.0
3556,100.0
3607,100.0
3663,100.0
3666,100.0
3793,100.0
3812,100.0
3829,100.0
3839,100.0
3863,100.0
3905,100.0
3930,100.0
3976,100.0
4043,100.0
4079,100.0
4097,100.0
4174,100.0
4193,100.0
4208,100.0
4215,100.0
4272,100.0
4305,100.0
4312,100.0
4332,100.0
4394,100.0
4445,100.0
4477,100.0
4482,100.0
4487,100.0
4498,100.0
4513,100.0
4569,100.0
4597,100.0
4673,100.0
4706,100.0
4785,100.0
4828,100.0
4899,100.0
5201,100.0
5272,100.0
5316,100.0
5370,100.0
5496,100.0
5781,100.0
5784,100.0
5786,100.0
6147,100.0
6278,100.0
7091,100.0
7107,100.0
7128,100.0
7138,100.0
7221,100.0
7223,100.0
7305,100.0
7372,100.0
7492,100.0
7495,100.0
7508,100.0
7552,100.0
7562,100.0
7566,100.0
7594,100.0
7608,100.0
7640,100.0
7671,100.0
7746,100.0
7773,100.0
7878,100.0
8293,100.0
8541,100.0
8554,100.0
8648,100.0
8668,100.0
8761,100.0
8842,100.0
8980,100.0
8998,100.0
9046,100.0
9062,100.0
9067,100.0
9153,100.0
9161,100.0
9193,100.0
9238,100.0
9312,100.0
9418,100.0
9549,100.0
9614,100.0
9621,100.0
9725,100.0
9793,100.0
9832,100.0
9849,100.0
9888,100.0
9921,100.0
9933,100.0
9959,100.0
9991,100.0
10007,100.0
10019,100.0
10053,100.0
10054,100.0
10055,100.0
10056,100.0
10057,100.0
10059,100.0
10281,100.0
10612,100.0
10665,100.0
10696,100.0
10697,100.0
10751,100.0
10893,100.0
11020,100.0
11086,100.0
11111,100.0
11136,100.0
11350,100.0
11408,100.0
11455,100.0
11476,100.0
11478,100.0
11579,100.0
11606,100.0
11617,100.0
11708,100.0
11772,100.0
11790,100.0
11881,100.0
11909,100.0
11986,100.0
12020,100.0
12024,100.0
12055,100.0
12077,100.0
12105,100.0
12109,100.0
12151,100.0
12179,100.0
12211,100.0
12217,100.0
12241,100.0
12306,100.0
12366,100.0
12432,100.0
12434,100.0
12441,100.0
12460,100.0
12481,100.0
12482,100.0
12487,100.0
12574,100.0
12715,100.0
12747,100.0
12756,100.0
12805,100.0
12893,100.0
12902,100.0
12935,100.0
13079,100.0
13173,100.0
13178,100.0
13200,100.0
13212,100.0
13233,100.0
13397,100.0
13398,100.0
13499,100.0
13513,100.0
13521,100.0
13594,100.0
13615,100.0
13706,100.0
13726,100.0
13894,100.0
13911,100.0
13949,100.0
13967,100.0
13969,100.0
13992,100.0
14054,100.0
14116,100.0
14143,100.0
14155,100.0
14176,100.0
14194,100.0
14228,100.0
14237,100.0
14306,100.0
14321,100.0
14343,100.0
14356,100.0
14460,100.0
14517,100.0
14565,100.0
14637,100.0
14673,100.0
14681,100.0
14765,100.0
14831,100.0
14880,100.0
15048,100.0
15085,100.0
15226,100.0
15324,100.0
15338,100.0
15396,100.0
15407,100.0
15472,100.0
15485,100.0
15511,100.0
15628,100.0
15793,100.0
15898,100.0
15930,100.0
15944,100.0
15961,100.0
16092,100.0
16153,100.0
16159,100.0
16203,100.0
16238,100.0
16304,100.0
16311,100.0
16424,100.0
16425,100.0
16441,100.0
16442,100.0
16445,100.0
16459,100.0
16519,100.0
16547,100.0
16570,100.0
16590,100.0
16662,100.0
16668,100.0
16715,100.0
16802,100.0
16831,100.0
16836,100.0
16837,100.0
16858,100.0
16890,100.0
16907,100.0
16983,100.0
17066,100.0
17087,100.0
17144,100.0
17148,100.0
17194,100.0
17200,100.0
17204,100.0
17228,100.0
17307,100.0
17309,100.0
17320,100.0
17338,100.0
17446,100.0
17690,100.0
17714,100.0
17715,100.0
17799,100.0
17952,100.0
18006,100.0
18029,100.0
18038,100.0
18041,100.0
18221,100.0
18263,100.0
18307,100.0
18332,100.0
18423,100.0
18432,100.0
18454,100.0
18468,100.0
18609,100.0
18638,100.0
18652,100.0
18658,100.0
18670,100.0
18687,100.0
18703,100.0
19119,100.0
19163,100.0
19338,100.0
19461,100.0
19489,100.0
19536,100.0
19552,100.0
